,HoundBaskervilles,LostWorld,MysteryCloomber,PoisonBelt,RafflesHaw,Refugees,SignFour,StudyScarlet,ValleyFear,WhiteCompany
19_king-soldier-officer,0.000258412829775498,0.000230169893388409,0.000246042828415807,0.000228532101091548,0.000261041448336888,0.000271549846035643,0.00025583871372513,0.000247938597342125,0.000261054382258069,0.000227721914338537
20_land-gate-silver,0.000232435504212869,0.000201194628183358,0.000210629668391144,0.000197653383996954,0.000228179873420535,0.000206751690294098,0.000220991531209079,0.000216726493505271,0.000230045838881048,0.000214258065289985
21_lodge-valley-house,0.000248103832818738,0.000208223762848406,0.000225773571611688,0.000207490769928748,0.000237605351625814,0.000215455178304755,0.000231990477628309,0.000233831136046079,0.21662112712056,0.000210079771529105
22_knight-prince-horse,0.000551205411021291,0.000480563737422357,0.000510022787964717,0.000473724757956235,0.000543312456768282,0.000492110029210127,0.000594231323256838,0.000513952532063998,0.000541140275077058,0.148306328427384
23_convoy-gun-tent,5.69722855453134E-05,5.16644359722531E-05,5.67700357044641E-05,5.07550857317295E-05,5.66630412056595E-05,5.17573331049405E-05,5.74261153354698E-05,5.41886934294646E-05,5.76557524104731E-05,5.11149572588485E-05
24_sword-squire-blade,0.000192282812574554,0.000173601773589634,0.000185975200144663,0.000171139977516528,0.00018971573328032,0.000175815266858006,0.000189255469313456,0.000181431273202585,0.000193426983578595,0.000187066684815077
25_thought-deduction-herring,0.000102131852616844,9.09694679200045E-05,9.72428880989612E-05,9.0322167390749E-05,0.00010233895160946,9.11330389059802E-05,0.000101926416580003,9.83718546411349E-05,0.000101518830518639,9.00019593185628E-05
26_heart-woman-word,0.0291254225472839,0.0159166947891485,0.035995525026288,0.0304876243955474,0.050213115661588,0.0818049967125039,0.0385636130884689,0.0384194400121849,0.0402622517672905,0.0862841203436724
27_fire-peasant-flame,0.000272294164834114,0.000254040953052197,0.000257501686349343,0.000268435759991737,0.000267358022259878,0.000250207433888356,0.000266280284528018,0.000266280284528018,0.000269544442735092,0.000248800399755945
28_metal-laboratory-gold,0.00012021269862215,0.000109013026449081,0.000116084410725015,0.000107853615020497,0.017606028907009,0.000111205028127326,0.000130528137306684,0.000115205227683284,0.000122389441261812,0.000107853615020497
