N	measure_1	measure_2	test_statistic	pvalue
20	Eta	Zeta_orig	-1.1789953741636268	0.25375021366583855
20	Eta	Zeta_log	-2.298701435200094	0.03371663309571315
20	Eta	RRF	7.8510815870806985	3.199339135128963e-07
20	Eta	Eta	0.0	1.0
20	Eta	Welch	-0.901429422966601	0.3792637815596278
20	Eta	Wilcoxon	0.026117670652795986	0.9794508618522277
20	Eta	KLD	2.7910375772516867	0.01206615788620604
20	Eta	χ2	1.9033303169722098	0.07311407546315142
20	Eta	LLR	0.8009044855663271	0.433632006354683
20	Eta	TF-IDF	0.056190411764990414	0.9558091523618828
20	Welch	Zeta_orig	-0.4388900976933783	0.6659640104588216
20	Welch	Zeta_log	-1.5119391936930897	0.147907562907002
20	Welch	RRF	8.719890401748534	7.033736086408083e-08
20	Welch	Eta	0.901429422966601	0.3792637815596278
20	Welch	Welch	0.0	1.0
20	Welch	Wilcoxon	0.7431318746908088	0.46699105186964984
20	Welch	KLD	3.3780535726978993	0.0033504089995852588
20	Welch	χ2	2.593247024300385	0.018358069508347293
20	Welch	LLR	1.723573189908285	0.10191827805244798
20	Welch	TF-IDF	0.7187917241363304	0.48149693155340934
20	Wilcoxon	Zeta_orig	-1.0167590673111768	0.32274075676377845
20	Wilcoxon	Zeta_log	-1.887692534085808	0.07529790422376152
20	Wilcoxon	RRF	6.861388848188401	2.0282151319299014e-06
20	Wilcoxon	Eta	-0.026117670652795986	0.9794508618522277
20	Wilcoxon	Welch	-0.7431318746908088	0.46699105186964984
20	Wilcoxon	Wilcoxon	0.0	1.0
20	Wilcoxon	KLD	2.5278568232549654	0.02105096471402851
20	Wilcoxon	χ2	1.659238234582607	0.11438983403293343
20	Wilcoxon	LLR	0.6247032073202321	0.5400045765094964
20	Wilcoxon	TF-IDF	0.028061483555292695	0.9779218971070313
20	KLD	Zeta_orig	-3.4295054363115405	0.0029895448456973917
20	KLD	Zeta_log	-4.204879043393401	0.0005324169413025318
20	KLD	RRF	3.1989562702906817	0.004973888860347315
20	KLD	Eta	-2.7910375772516867	0.01206615788620604
20	KLD	Welch	-3.3780535726978993	0.0033504089995852588
20	KLD	Wilcoxon	-2.5278568232549654	0.02105096471402851
20	KLD	KLD	0.0	1.0
20	KLD	χ2	-1.026733035837067	0.3181469439921804
20	KLD	LLR	-2.2762223678831237	0.035283016168462925
20	KLD	TF-IDF	-2.4104588886438227	0.02684397346739557
20	χ2	Zeta_orig	-2.6788218846609615	0.015324989462658386
20	χ2	Zeta_log	-3.5790835600421333	0.002144686542850694
20	χ2	RRF	4.813636659888224	0.0001391936383467936
20	χ2	Eta	-1.9033303169722098	0.07311407546315142
20	χ2	Welch	-2.593247024300385	0.018358069508347293
20	χ2	Wilcoxon	-1.659238234582607	0.11438983403293343
20	χ2	KLD	1.026733035837067	0.3181469439921804
20	χ2	χ2	0.0	1.0
20	χ2	LLR	-1.2984389674638204	0.21052662615745776
20	χ2	TF-IDF	-1.5530145695829658	0.13782508295329546
20	LLR	Zeta_orig	-1.870151997579892	0.07781598595393183
20	LLR	Zeta_log	-3.058302240301519	0.006768724036767036
20	LLR	RRF	7.173855194292029	1.1160614419792472e-06
20	LLR	Eta	-0.8009044855663271	0.433632006354683
20	LLR	Welch	-1.723573189908285	0.10191827805244798
20	LLR	Wilcoxon	-0.6247032073202321	0.5400045765094964
20	LLR	KLD	2.2762223678831237	0.035283016168462925
20	LLR	χ2	1.2984389674638204	0.21052662615745776
20	LLR	LLR	0.0	1.0
20	LLR	TF-IDF	-0.5482969351141455	0.590224187194879
20	TF-IDF	Zeta_orig	-0.9831851328159288	0.3385480450925945
20	TF-IDF	Zeta_log	-1.7830542255124577	0.09144988377634733
20	TF-IDF	RRF	6.488890293617007	4.2062882484776e-06
20	TF-IDF	Eta	-0.056190411764990414	0.9558091523618828
20	TF-IDF	Welch	-0.7187917241363304	0.48149693155340934
20	TF-IDF	Wilcoxon	-0.028061483555292695	0.9779218971070313
20	TF-IDF	KLD	2.4104588886438227	0.02684397346739557
20	TF-IDF	χ2	1.5530145695829658	0.13782508295329546
20	TF-IDF	LLR	0.5482969351141455	0.590224187194879
20	TF-IDF	TF-IDF	0.0	1.0
30	Zeta_orig	Zeta_orig	0.0	1.0
30	Zeta_orig	Zeta_log	-0.34547721826904226	0.7337402529010607
30	Zeta_orig	RRF	7.259622771095326	9.494792571102731e-07
30	Zeta_orig	Eta	0.5924501480541419	0.5609187488382049
30	Zeta_orig	Welch	-0.3787686095103965	0.7092903444108006
30	Zeta_orig	Wilcoxon	-0.4122664414171774	0.6850125584724098
30	Zeta_orig	KLD	2.7997429945289953	0.011843244258854146
30	Zeta_orig	χ2	1.4032883545698742	0.17754643555806643
30	Zeta_orig	LLR	-0.1027603462604	0.9192893609075359
30	Zeta_orig	TF-IDF	0.32623366569796985	0.7480100027085965
30	Zeta_log	Zeta_orig	0.34547721826904226	0.7337402529010607
30	Zeta_log	Zeta_log	0.0	1.0
30	Zeta_log	RRF	10.272211331910508	5.8980790289563206e-09
30	Zeta_log	Eta	1.2629199811996705	0.22273348168401944
30	Zeta_log	Welch	-0.06647118395209688	0.9477354463421743
30	Zeta_log	Wilcoxon	-0.122612163431372	0.9037728310210511
30	Zeta_log	KLD	3.987568361541343	0.0008634083785345931
30	Zeta_log	χ2	2.135788798653347	0.04668836334173277
30	Zeta_log	LLR	0.2827947824410958	0.7805605290262501
30	Zeta_log	TF-IDF	0.6862346533489431	0.5013099049240273
30	RRF	Zeta_orig	-7.259622771095326	9.494792571102731e-07
30	RRF	Zeta_log	-10.272211331910508	5.8980790289563206e-09
30	RRF	RRF	0.0	1.0
30	RRF	Eta	-9.018063058843303	4.274709298555981e-08
30	RRF	Welch	-9.40596828064617	2.272443214581643e-08
30	RRF	Wilcoxon	-8.891672717570874	5.272391961081024e-08
30	RRF	KLD	-5.048082493643726	8.36753066116194e-05
30	RRF	χ2	-6.345025737896167	5.603017848904443e-06
30	RRF	LLR	-8.863220407850164	5.528817904903467e-08
30	RRF	TF-IDF	-6.059426891672053	9.980790675860015e-06
