"Broughton_ENG18830" "Broughton_ENG18871" "Broughton_ENG18901" "Dickens_ENG18481" "Dickens_ENG18530" "Dickens_ENG18540" "Disraeli_ENG18440" "Disraeli_ENG18450" "Disraeli_ENG18800" "Eliot_ENG18610" "Eliot_ENG18660" "Eliot_ENG18721" "Nesbit_ENG18890" "Nesbit_ENG19020" "Nesbit_ENG19060" "Ouida_ENG18670" "Ouida_ENG18740" "Ouida_ENG18831" "Trollope_ENG18551" "Trollope_ENG18650" "Trollope_ENG18742" "Ward_ENG18880" "Ward_ENG18951" "Ward_ENG19091" "Wells_ENG18952" "Wells_ENG19090" "Wells_ENG19120" "Yonge_ENG18531" "Yonge_ENG18560" "Yonge_ENG18651"
"was" 0.261234864263777 0.291626262050083 0.349811764858872 1.12740989103101 0.913768777491908 1.12302098325884 1.62273326790726 1.20487206449352 1.87440990263031 1.5640814563906 1.49534816340984 1.43435519017433 1.30942185258944 1.05294875872575 1.24902201855371 1.2392485737701 1.24061436519798 1.18203797161665 1.42413257379596 1.42723284373041 1.96684394614537 1.31988506100582 1.40839337322424 1.47178825239982 1.67859862909368 1.20957253099801 1.35248528255512 1.78276964496046 1.5444397529952 1.54824260669526
"her" 2.2607406361422 1.50305173692316 1.60276208248535 1.32187761944677 0.738097214153318 1.15048102416484 0.560080511573539 0.586475389314506 0.739685242787055 0.821851257068056 0.922855701853223 1.15949385895404 0.958591726600147 0.780086043825435 0.375824298647591 1.20065881079877 2.52804436681852 2.49604354931001 0.562838998064815 1.47284224112789 0.323415265200517 1.47944662546083 1.80323197785647 1.89759795848726 0.228484386900228 0.593947801959594 1.21307424463664 1.27881541309103 1.5101335303742 1.80709448905154
"his" 0.682034807780563 0.921938280759797 1.34723044012562 1.42469963677005 1.13149085677926 1.11544579956064 1.50084074585722 0.979545340744079 1.21871397871884 1.29013103736792 1.11171919432551 1.17342264263074 1.10717860348973 0.17911846929039 0.38700122946239 1.58178244921667 0.437546140410897 1.02326444555563 1.80435552890512 1.11479295815726 1.46614920224235 1.23515001178774 1.36361786135873 0.945089835462382 0.392993145468393 0.561432411341368 0.958037938302357 1.36757529867071 0.910434369557186 0.806984943584084
"you" 1.24757298690295 1.44886201585762 1.11055482226571 1.05699916177703 1.22444462887653 1.46863873948943 0.606337160966889 1.00207801311902 0.845106318892963 1.13358794078353 0.937878934208973 1.09758815372425 1.37442861122863 1.56686810519444 1.71985022912708 0.906262680914378 1.09836685452941 0.543850876605133 0.892638120417564 1.49983555795496 0.991806813281587 0.711364405129204 0.289005576586478 1.01927271108737 0.417364813404417 0.809994508511807 0.709608790163263 1.26577486118122 1.20764500976408 1.13034693455267
"she" 1.82299572845695 1.12871484798357 1.12030793838631 0.728136350936016 0.521481727390931 0.798234982198318 0.355051038586797 0.392444043863602 0.608198515995621 0.566793970391763 0.699116848555087 0.815607666402536 0.82135523613963 1.03453471048094 0.501564770314072 0.900693024403052 1.98786394655815 1.93672771886776 0.456540107389136 1.3983779188463 0.273106223947104 1.03424594348036 1.76659746814833 1.5637750181748 0.137090632140137 0.705945258533484 1.52955712218618 1.07857984183073 1.12550799598881 1.2707274224763
"had" 0.268295266000635 0.273087673264503 0.446042510582131 0.71025426096675 0.57736464990179 0.731005226876752 1.03139826350038 0.809924390366031 1.00265869636992 1.0526173735847 1.1707390357231 1.1579462163233 1.24028768070331 0.716473877161558 0.645467754554599 1.1342207652708 0.983128364873868 1.30678859923603 0.907628989615416 1.3844158584185 1.45177519045566 1.01716226420252 1.21300932144747 1.30413495348734 1.07844630616908 0.741350906095552 1.11198472425025 0.993185259969712 0.961233968438275 1.02567015454025
"with" 0.922088466833763 1.00037077177571 1.00001950623224 1.01341156747695 0.935623979860016 0.911862737671388 0.871375260193653 0.871889239397126 0.874647389669893 0.840744389414448 0.915880629688053 0.942514362123613 0.741902531136174 0.708103855232101 0.697161059573041 1.17121919781033 0.905702504636549 1.05264785784614 0.77407397312546 0.748986974948961 0.65401753629438 0.998370216996894 0.915862742703627 0.869423302324891 0.661081492764661 0.835284256770427 0.955395075024281 0.800942285041225 0.766941996094369 0.845122995216515
"as" 0.81971264164931 0.828532314186299 0.91874353856057 0.882369376920928 0.837413893269151 0.823801227179759 0.653843990073573 0.588979019578389 0.615149356178428 1.14573352586335 0.85954350835399 0.845631933438986 0.896680527896154 0.619381622779852 0.553258075332514 1.08608301970863 0.884095287826134 0.880986870254192 0.966229660116111 1.08593803327314 1.19064730966413 0.843592082739675 0.720478690926853 0.762599961424905 0.81949733434882 0.627185756813781 0.619090722889178 0.935554433787649 0.876787881986594 0.853237474287244
"not" 1.23486426377661 0.899834578746221 1.27635779631592 0.527242246437552 0.625224776606634 0.635368532686918 0.759484175850278 0.785513995293175 1.02119427019074 0.534405743512233 0.845593364023651 0.906609053090333 0.87604346166149 0.53902941225706 0.556052308036213 0.533493527263469 0.896699497632209 0.509827978163485 0.934885115429693 1.02791791549541 0.783383642374587 0.450667459349385 0.480319127284569 0.578626429874928 0.344249809596344 0.346830833261077 0.350179384344999 0.997391889618038 1.05161767034359 1.05528800314842
"for" 0.731457619938574 0.670241286863271 0.642405248476888 0.670857781503213 0.675298088361413 0.727217635027649 0.713227526456928 0.762981322918231 0.716515775511032 1.05666590194464 0.769940658232195 0.789607270206022 0.856438248738559 0.713125868389775 0.567229238851012 0.714507363881573 0.65721951131678 0.735100805724095 0.746817847311183 0.721373122102872 0.721096257965598 0.686763906969116 0.659421174746611 0.596430320024925 0.667174409748667 0.732680135264025 0.761805339905253 0.921251892983342 0.885034570116641 0.89543276545504
