	acd006	acd012	acd011	acd001	acd010	acd007	acd005	acd004	acd002	acd009	acd008	acd003	totals
light	80.0	13.0	29.0	20.0	34.0	33.0	75.0	72.0	56.0	7.0	22.0	38.0	479.0
His	89.0	16.0	27.0	39.0	28.0	17.0	97.0	72.0	31.0	7.0	32.0	24.0	479.0
even	60.0	22.0	30.0	14.0	46.0	27.0	101.0	87.0	23.0	15.0	26.0	23.0	474.0
stood	72.0	12.0	20.0	23.0	28.0	27.0	74.0	112.0	34.0	5.0	31.0	26.0	464.0
matter	85.0	26.0	29.0	29.0	33.0	25.0	51.0	59.0	49.0	16.0	21.0	38.0	461.0
white	62.0	11.0	11.0	22.0	34.0	26.0	88.0	125.0	22.0	6.0	20.0	33.0	460.0
few	84.0	21.0	28.0	26.0	39.0	34.0	90.0	53.0	34.0	6.0	26.0	18.0	459.0
This	91.0	11.0	32.0	38.0	44.0	37.0	48.0	56.0	32.0	9.0	20.0	41.0	459.0
My	41.0	18.0	16.0	32.0	40.0	51.0	79.0	55.0	56.0	24.0	13.0	32.0	457.0
whole	78.0	23.0	26.0	33.0	62.0	38.0	60.0	58.0	28.0	7.0	25.0	18.0	456.0
look	105.0	18.0	26.0	21.0	30.0	39.0	54.0	61.0	18.0	14.0	33.0	32.0	451.0
find	61.0	10.0	50.0	27.0	50.0	29.0	53.0	71.0	43.0	13.0	18.0	26.0	451.0
without	73.0	14.0	36.0	25.0	21.0	31.0	83.0	69.0	33.0	12.0	33.0	20.0	450.0
enough	78.0	7.0	53.0	34.0	25.0	29.0	52.0	72.0	21.0	8.0	30.0	40.0	449.0
turned	55.0	15.0	29.0	15.0	34.0	26.0	107.0	71.0	44.0	6.0	23.0	20.0	445.0
end	55.0	45.0	32.0	18.0	44.0	22.0	55.0	91.0	34.0	20.0	14.0	15.0	445.0
give	69.0	10.0	49.0	19.0	47.0	18.0	54.0	83.0	35.0	12.0	19.0	29.0	444.0
myself	44.0	18.0	27.0	24.0	55.0	42.0	36.0	46.0	27.0	53.0	24.0	45.0	441.0
something	62.0	14.0	38.0	21.0	61.0	26.0	58.0	30.0	39.0	17.0	43.0	32.0	441.0
between	57.0	13.0	41.0	21.0	42.0	32.0	82.0	71.0	29.0	10.0	14.0	28.0	440.0
don	131.0	31.0	53.0	32.0	44.0	24.0	9.0	2.0	34.0	7.0	36.0	32.0	435.0
small	70.0	19.0	20.0	27.0	37.0	17.0	53.0	84.0	28.0	9.0	23.0	46.0	433.0
far	56.0	22.0	33.0	25.0	61.0	18.0	56.0	74.0	38.0	9.0	12.0	28.0	432.0
place	59.0	6.0	39.0	18.0	70.0	32.0	52.0	43.0	48.0	5.0	19.0	38.0	429.0
thing	78.0	17.0	30.0	22.0	30.0	29.0	33.0	74.0	32.0	29.0	26.0	29.0	429.0
among	61.0	12.0	27.0	17.0	81.0	25.0	66.0	89.0	19.0	2.0	14.0	15.0	428.0
work	70.0	11.0	46.0	23.0	22.0	16.0	49.0	62.0	20.0	10.0	52.0	41.0	422.0
put	86.0	16.0	49.0	32.0	36.0	20.0	49.0	35.0	32.0	9.0	22.0	36.0	422.0
Ezra	420.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	420.0
black	42.0	9.0	22.0	3.0	37.0	15.0	67.0	128.0	45.0	6.0	13.0	33.0	420.0
just	74.0	35.0	51.0	23.0	36.0	33.0	45.0	17.0	23.0	10.0	28.0	42.0	417.0
